№з/п;Договір №;від;ЄДРПОУ контрагента;Назва контрагента;Предмет договору;Код CPV (розділ);Обсяг платежів, грн.
;;;;І.ТОВАРИ;;;
1;07/10-од;07.10.2016;38573205;"ТОВ ""Одесенергобуд""";Щит ВРУ;31000000-6;39974.00
1;1/211;14.12.2016;36538834;"ТОВ ""Практик-УМ""";Смітник;44000000-0;128000.00
1;б/н;;35625082;"ТОВ ""Сав-Дістрибьюшн""";Кондиціонер;39000000-2;5599.89
1;1/138;19.10.2016;35625082;"ТОВ ""Сав-Дістрибьюшн""";Пилосос;39000000-2;1899.90
1;б/н;;32828388;"ТОВ ""Констракшн машинері""";Запчастини;34000000-7;2911.23
1;б/н;;;ФОП Коваль І.Д;Офісна техніка;30000000-9;61635.00
1;1/216;12.12.2016;;ФОП Коваль І.Д;Офісна техніка;30000000-9;32978.00
1;1/215;12.12.2016;;ФОП Коваль І.Д;Офісна техніка;30000000-9;5912.00
1;б/н;;;ФОП Ричило А.О;Офісна техніка;30000000-9;2565.00
1;б/н;;31630366;ПКФ ТОВ Кріопром;Хімічна продукція;24000000-4;49839.30
1;1/191;09.12.2016;38167283;"ТОВ ""Люмєр Україна""";Куля ПВХ;39000000-2;27879.46
1;1/189;09.12.2016;38167283;"ТОВ ""Люмєр Україна""";Ялинка;39000000-2;156100.00
1;1/145;27.10.2016;;ФОП Кривонос М.О.;Рація;32000000-3;5188.00
1;1/145;27.10.2016;;ФОП Кривонос М.О.;Обладнання;35000000-4;59351.00
1;б/н;;;ФОП Мандажи І.П.;Запчастини;34000000-7;750.00
1;73/20;20.11.2014;39265734;"ТОВ ""Компанія ""Рідне місто""""";Електроматеріали;31000000-6;434368.07
1;б/н;;32751609;"ТОВ ""Трансмет-ЮГ""";Конструкційні матеріали;44000000-0;315830.64
1;1/227;21.12.2016;32751609;"ТОВ ""Трансмет-ЮГ""";Конструкційні матеріали;44000000-0;5249.97
1;1/147;28.10.2016;30300801;"ПП ""Кані""";Обладнання;35000000-4;30696.00
1;20/2016;12.09.2016;33398849;"ТОВ ""Каблекс-Україна""";Електроматеріали;31000000-6;5578.81
1;1/203;14.12.2016;37680166;"ТОВ ""Торгімпортгруп""";Електроматеріали;31000000-6;22267.00
1;1/202;14.12.2016;37680166;"ТОВ ""Торгімпортгруп""";Електроматеріали;31000000-6;44288.00
1;б/н;;37680166;"ТОВ ""Торгімпортгруп""";Перфоратор, насос;42000000-6;46272.00
1;8074;11.07.2016;39365338;"ТОВ ""НПК Агромет-сервіс""";Транспортне обладнання;34000000-7;30000.00
1;74;24.10.2016;32039704;"ПП ""Агропостач""";Запчастини;34000000-7;1419.67
1;1/146;28.10.2016;;ФОП Алентьєва О.М.;Камишовий мат;39000000-2;68000.00
1;1/147/1;27.12.2016;;ФОП Алентьєва О.М.;Камишовий мат;39000000-2;35485.00
1;1/225;20.12.2016;37137184;"ПП ""Аркс Сталь""";Металеве огородження;34000000-7;199644.00
1;1/142;18.10.2016;14228451;"ТОВ ""Атілос""";Світлофори;34000000-7;140088.00
1;б/н;;;ФОП Багрін М.М.;Табличка фасадна;44000000-0;1080.00
1;б/н;;;ФОП Балух М.А.;Канцтовари;30000000-9;2162.53
1;б/н;;;ФОП Балух М.А.;Друкована продукція;22000000-0;9124.00
1;34335;11.07.2016;33003857;"ТОВ ""АПК Бєлагросервіс""";Транспортне обладнання;34000000-7;365446.14
1;1/112;29.08.2016;33003857;"ТОВ ""АПК Бєлагросервіс""";Транспортне обладнання;34000000-7;87000.00
1;42370;;40734897;"ТОВ ""Ваттек""";Конструкційні матеріали;44000000-0;6166.02
1;1/167;29.11.2016;13907606;"ТОВ ""Герафак""";Розкидач;16000000-5;111000.00
1;1/151;03.11.2016;;ФОП Воробйов О.В.;Флагшток;35000000-4;99993.00
1;35796;13.07.2016;;ФОП Воробйов О.В.;Прапор;35000000-4;9510.00
1;19725;09.06.2016;;ФОП Воробйов О.В.;Лавка;35000000-4;20860.00
1;б/н;17.05.2016;;ФОП Воробйов О.В.;Прапори;35000000-4;3900.00
1;б/н;18.08.2016;;ФОП Воробйов О.В.;Прапори;35000000-4;3180.00
1;20090;13.06.2016;31833947;"ТОВ ""Глобус-авто""";Транспортне обладнання;34000000-7;197144.51
1;ХБТ-24/07/16;01.08.2016;37929278;"ТОВ ""Блек Сі Петрол""";Паливо;09000000-3;1187569.84
1;б/н;;35575592;"ТОВ ""ТПК Велес""";Фарбопульт;42000000-6;5985.00
1;б/н;;24766391;"ВКП ""Вік-Медіа""";Нумератор;30000000-9;1185.00
1;б/н;26.02.2016;;ФОП Гладка Т.А.;Промислова техніка ;42000000-6;5105.72
1;42963;16.08.2016;;ФОП Скачкова Н.О.;Хімічна продукція;24000000-4;12749.35
1;42963;16.08.2016;;ФОП Скачкова Н.О.;Конструкційні матеріали;44000000-0;14153.14
1;42963;16.08.2016;;ФОП Скачкова Н.О.;Пісок, диск;14000000-1;8110.50
